cappun,relig,age_category,polviews
favor,none/other,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,3.0,slightly conservative
favor,protestant,1.0,conservative
,protestant,1.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
oppose,protestant,5.0,slightly conservative
oppose,none/other,5.0,extremely liberal
favor,protestant,2.0,
,none/other,,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
oppose,none/other,2.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
,none/other,3.0,"moderate, middle of the road"
,none/other,4.0,
favor,protestant,5.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,christianity,2.0,conservative
favor,protestant,3.0,conservative
oppose,none/other,2.0,slightly liberal
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
oppose,protestant,2.0,conservative
oppose,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,extremely conservative
,protestant,5.0,"moderate, middle of the road"
oppose,catholic,1.0,slightly liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,3.0,conservative
favor,protestant,4.0,extremely liberal
favor,protestant,4.0,extremely conservative
favor,none/other,2.0,"moderate, middle of the road"
favor,protestant,2.0,conservative
favor,protestant,4.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,extremely conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,4.0,"moderate, middle of the road"
,protestant,5.0,conservative
,protestant,4.0,"moderate, middle of the road"
oppose,protestant,3.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,2.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
oppose,none/other,1.0,
,none/other,2.0,"moderate, middle of the road"
favor,protestant,1.0,
favor,protestant,1.0,extremely conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,liberal
favor,protestant,3.0,
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,2.0,slightly conservative
oppose,protestant,4.0,extremely liberal
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,4.0,extremely liberal
oppose,protestant,2.0,"moderate, middle of the road"
oppose,protestant,3.0,liberal
favor,protestant,4.0,extremely conservative
favor,protestant,5.0,conservative
oppose,protestant,2.0,conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
,catholic,5.0,"moderate, middle of the road"
favor,protestant,5.0,extremely conservative
oppose,catholic,5.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
oppose,protestant,1.0,slightly liberal
favor,protestant,2.0,"moderate, middle of the road"
favor,none/other,3.0,extremely conservative
oppose,protestant,2.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
oppose,protestant,5.0,extremely conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,1.0,slightly conservative
oppose,protestant,4.0,"moderate, middle of the road"
favor,catholic,4.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,
oppose,none/other,2.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
oppose,protestant,5.0,slightly liberal
favor,none/other,1.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,2.0,slightly liberal
oppose,catholic,3.0,slightly conservative
favor,none/other,3.0,"moderate, middle of the road"
oppose,christianity,1.0,"moderate, middle of the road"
favor,protestant,,"moderate, middle of the road"
favor,none/other,2.0,conservative
oppose,christianity,2.0,"moderate, middle of the road"
favor,protestant,3.0,conservative
oppose,protestant,4.0,conservative
,protestant,5.0,conservative
favor,catholic,5.0,conservative
favor,protestant,4.0,conservative
favor,none/other,3.0,liberal
,protestant,3.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,protestant,3.0,slightly conservative
oppose,none/other,2.0,"moderate, middle of the road"
favor,christianity,1.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,1.0,"moderate, middle of the road"
favor,none/other,2.0,
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,catholic,4.0,"moderate, middle of the road"
favor,protestant,5.0,slightly liberal
favor,none/other,1.0,extremely conservative
favor,protestant,5.0,conservative
,protestant,5.0,"moderate, middle of the road"
favor,catholic,4.0,extremely liberal
favor,catholic,4.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,none/other,1.0,extremely liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,4.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
,catholic,3.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
,none/other,3.0,
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,2.0,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
favor,protestant,3.0,slightly conservative
oppose,protestant,4.0,liberal
favor,protestant,1.0,slightly liberal
oppose,christianity,3.0,slightly conservative
,protestant,5.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,2.0,extremely liberal
favor,protestant,5.0,conservative
favor,catholic,4.0,slightly conservative
favor,protestant,5.0,conservative
favor,protestant,3.0,extremely conservative
oppose,protestant,3.0,liberal
favor,none/other,1.0,"moderate, middle of the road"
oppose,christianity,3.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
,protestant,5.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,protestant,4.0,extremely conservative
favor,protestant,3.0,conservative
favor,catholic,2.0,slightly liberal
favor,jewish,5.0,"moderate, middle of the road"
favor,christianity,3.0,"moderate, middle of the road"
favor,jewish,1.0,liberal
favor,protestant,4.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,1.0,conservative
favor,protestant,2.0,extremely liberal
oppose,protestant,2.0,"moderate, middle of the road"
oppose,protestant,4.0,extremely liberal
favor,protestant,1.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,protestant,2.0,
oppose,none/other,5.0,liberal
,protestant,5.0,"moderate, middle of the road"
favor,protestant,3.0,slightly conservative
favor,protestant,1.0,slightly conservative
favor,protestant,4.0,conservative
oppose,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
oppose,protestant,3.0,liberal
favor,protestant,1.0,slightly conservative
oppose,protestant,1.0,
favor,protestant,2.0,liberal
favor,protestant,5.0,slightly liberal
oppose,catholic,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,conservative
oppose,protestant,5.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,2.0,conservative
favor,protestant,2.0,slightly conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
oppose,protestant,3.0,"moderate, middle of the road"
favor,catholic,3.0,slightly conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
favor,none/other,4.0,"moderate, middle of the road"
oppose,catholic,5.0,extremely conservative
oppose,protestant,5.0,conservative
favor,protestant,5.0,slightly liberal
favor,catholic,3.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
,hinduism,5.0,liberal
favor,catholic,3.0,extremely conservative
oppose,protestant,5.0,conservative
oppose,catholic,4.0,slightly conservative
favor,protestant,5.0,slightly conservative
favor,catholic,4.0,slightly conservative
oppose,protestant,5.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
oppose,none/other,2.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
oppose,protestant,4.0,conservative
favor,protestant,1.0,"moderate, middle of the road"
oppose,catholic,4.0,extremely liberal
favor,catholic,1.0,slightly conservative
favor,none/other,1.0,"moderate, middle of the road"
oppose,catholic,5.0,conservative
oppose,protestant,4.0,liberal
oppose,catholic,5.0,slightly liberal
oppose,catholic,5.0,liberal
oppose,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,slightly liberal
favor,none/other,2.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,1.0,slightly liberal
favor,protestant,4.0,slightly liberal
oppose,protestant,5.0,liberal
favor,protestant,3.0,liberal
favor,protestant,5.0,conservative
oppose,protestant,5.0,liberal
oppose,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
,none/other,4.0,slightly conservative
favor,catholic,5.0,slightly conservative
favor,catholic,5.0,slightly liberal
favor,catholic,5.0,slightly liberal
favor,catholic,5.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
favor,catholic,4.0,slightly conservative
oppose,none/other,4.0,liberal
favor,protestant,3.0,slightly conservative
oppose,protestant,2.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
favor,catholic,5.0,
favor,catholic,5.0,slightly conservative
favor,none/other,5.0,slightly liberal
favor,catholic,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,3.0,slightly liberal
favor,catholic,3.0,"moderate, middle of the road"
favor,catholic,2.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
oppose,protestant,5.0,slightly liberal
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
oppose,christianity,2.0,liberal
favor,protestant,2.0,"moderate, middle of the road"
favor,catholic,4.0,"moderate, middle of the road"
,catholic,1.0,slightly liberal
favor,none/other,2.0,liberal
favor,catholic,3.0,liberal
favor,catholic,5.0,extremely conservative
oppose,catholic,3.0,liberal
favor,protestant,5.0,slightly conservative
favor,protestant,4.0,conservative
favor,protestant,4.0,extremely conservative
favor,catholic,1.0,slightly liberal
favor,protestant,2.0,conservative
oppose,protestant,2.0,liberal
favor,none/other,2.0,liberal
oppose,catholic,1.0,slightly liberal
oppose,protestant,5.0,slightly liberal
oppose,catholic,5.0,slightly liberal
favor,jewish,4.0,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
oppose,catholic,1.0,slightly liberal
,none/other,5.0,
oppose,none/other,2.0,liberal
favor,catholic,3.0,"moderate, middle of the road"
oppose,catholic,1.0,conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
,protestant,5.0,liberal
oppose,protestant,3.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,1.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,christianity,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,1.0,liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,1.0,
favor,christianity,1.0,slightly conservative
favor,protestant,5.0,conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,3.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,3.0,extremely conservative
oppose,muslim/islam,2.0,slightly conservative
favor,protestant,5.0,slightly conservative
oppose,none/other,5.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
oppose,none/other,2.0,extremely liberal
favor,catholic,5.0,extremely liberal
favor,none/other,4.0,extremely liberal
favor,christianity,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,buddhism,3.0,"moderate, middle of the road"
favor,protestant,5.0,extremely conservative
oppose,catholic,4.0,conservative
favor,protestant,4.0,slightly liberal
,protestant,5.0,"moderate, middle of the road"
oppose,protestant,3.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly liberal
oppose,christianity,3.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,christianity,3.0,slightly conservative
favor,protestant,1.0,conservative
favor,protestant,2.0,conservative
oppose,protestant,3.0,conservative
favor,protestant,3.0,slightly conservative
favor,protestant,4.0,slightly conservative
favor,protestant,4.0,extremely conservative
favor,protestant,3.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
oppose,catholic,5.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
oppose,protestant,4.0,liberal
favor,none/other,2.0,"moderate, middle of the road"
oppose,christianity,2.0,"moderate, middle of the road"
favor,none/other,4.0,
favor,catholic,4.0,liberal
favor,protestant,3.0,slightly conservative
oppose,catholic,5.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
favor,protestant,2.0,conservative
oppose,protestant,5.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,catholic,4.0,slightly liberal
favor,protestant,5.0,extremely conservative
favor,none/other,2.0,slightly conservative
favor,catholic,2.0,liberal
oppose,protestant,4.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
,protestant,4.0,"moderate, middle of the road"
favor,catholic,4.0,conservative
favor,protestant,5.0,slightly liberal
favor,protestant,4.0,conservative
oppose,protestant,3.0,liberal
favor,protestant,2.0,"moderate, middle of the road"
oppose,protestant,2.0,extremely conservative
favor,protestant,5.0,liberal
oppose,muslim/islam,1.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,1.0,slightly conservative
oppose,catholic,5.0,conservative
oppose,none/other,3.0,"moderate, middle of the road"
oppose,protestant,3.0,slightly liberal
,catholic,1.0,liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,2.0,liberal
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,christianity,4.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,protestant,5.0,liberal
favor,catholic,1.0,"moderate, middle of the road"
,none/other,4.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly liberal
favor,protestant,2.0,conservative
favor,protestant,4.0,extremely conservative
favor,catholic,1.0,slightly liberal
favor,protestant,5.0,slightly conservative
favor,none/other,2.0,slightly conservative
favor,protestant,5.0,conservative
favor,none/other,3.0,slightly liberal
favor,protestant,5.0,extremely conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,catholic,4.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,catholic,3.0,
favor,catholic,4.0,extremely liberal
favor,protestant,1.0,conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,5.0,liberal
oppose,protestant,2.0,slightly liberal
favor,hinduism,1.0,slightly liberal
oppose,protestant,4.0,liberal
favor,protestant,4.0,conservative
oppose,christianity,2.0,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
oppose,protestant,3.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,2.0,conservative
,protestant,4.0,liberal
favor,catholic,1.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
oppose,catholic,4.0,
oppose,catholic,5.0,"moderate, middle of the road"
favor,catholic,1.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
,catholic,4.0,slightly liberal
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,5.0,slightly liberal
favor,catholic,5.0,conservative
favor,protestant,1.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,1.0,liberal
favor,protestant,5.0,conservative
favor,catholic,1.0,"moderate, middle of the road"
,catholic,4.0,
favor,catholic,5.0,"moderate, middle of the road"
favor,christianity,2.0,"moderate, middle of the road"
oppose,protestant,1.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
,protestant,5.0,slightly conservative
favor,protestant,2.0,
oppose,protestant,5.0,slightly liberal
favor,catholic,4.0,slightly conservative
,catholic,5.0,conservative
favor,protestant,3.0,slightly conservative
favor,none/other,2.0,slightly liberal
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,jewish,4.0,conservative
,christianity,3.0,conservative
oppose,catholic,2.0,liberal
favor,protestant,4.0,conservative
,protestant,5.0,conservative
,none/other,1.0,conservative
oppose,catholic,2.0,slightly conservative
favor,protestant,1.0,slightly conservative
,catholic,2.0,conservative
favor,catholic,3.0,liberal
oppose,catholic,1.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
,catholic,4.0,conservative
oppose,catholic,1.0,extremely conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
favor,catholic,4.0,"moderate, middle of the road"
oppose,none/other,2.0,slightly conservative
oppose,catholic,5.0,conservative
favor,christianity,2.0,conservative
oppose,protestant,4.0,slightly liberal
oppose,protestant,3.0,extremely conservative
favor,protestant,1.0,conservative
favor,protestant,2.0,slightly conservative
favor,protestant,5.0,conservative
favor,protestant,2.0,conservative
favor,catholic,4.0,conservative
favor,catholic,5.0,
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
oppose,buddhism,3.0,"moderate, middle of the road"
favor,christianity,4.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
,protestant,5.0,slightly conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
favor,christianity,5.0,extremely conservative
oppose,none/other,3.0,"moderate, middle of the road"
favor,catholic,1.0,liberal
oppose,buddhism,5.0,slightly liberal
favor,christianity,1.0,conservative
favor,catholic,2.0,conservative
favor,none/other,2.0,extremely liberal
oppose,buddhism,1.0,slightly conservative
favor,catholic,1.0,conservative
favor,protestant,5.0,extremely conservative
oppose,protestant,2.0,liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,4.0,extremely liberal
oppose,catholic,1.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,slightly liberal
,catholic,5.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
favor,protestant,2.0,conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,slightly liberal
favor,christianity,3.0,slightly conservative
favor,protestant,5.0,extremely conservative
favor,none/other,4.0,liberal
favor,protestant,2.0,conservative
favor,none/other,1.0,"moderate, middle of the road"
oppose,none/other,4.0,liberal
oppose,protestant,1.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
oppose,protestant,4.0,liberal
favor,catholic,5.0,slightly liberal
oppose,protestant,2.0,"moderate, middle of the road"
oppose,christianity,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,protestant,3.0,slightly conservative
favor,catholic,2.0,"moderate, middle of the road"
oppose,none/other,1.0,
favor,none/other,2.0,"moderate, middle of the road"
,none/other,5.0,slightly liberal
favor,protestant,3.0,extremely conservative
favor,christianity,1.0,slightly liberal
favor,protestant,5.0,conservative
favor,christianity,1.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
oppose,christianity,5.0,"moderate, middle of the road"
oppose,catholic,1.0,conservative
oppose,christianity,1.0,slightly conservative
favor,catholic,3.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
favor,christianity,3.0,slightly liberal
oppose,none/other,2.0,conservative
oppose,none/other,4.0,"moderate, middle of the road"
oppose,catholic,5.0,liberal
oppose,none/other,1.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
favor,catholic,4.0,slightly liberal
favor,muslim/islam,,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,catholic,1.0,liberal
oppose,protestant,5.0,extremely liberal
favor,protestant,3.0,conservative
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,2.0,conservative
oppose,protestant,3.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
,,2.0,
oppose,jewish,2.0,
oppose,none/other,1.0,extremely liberal
favor,catholic,5.0,extremely conservative
oppose,none/other,2.0,liberal
favor,catholic,5.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
favor,protestant,1.0,extremely conservative
favor,catholic,4.0,"moderate, middle of the road"
favor,catholic,2.0,slightly conservative
oppose,catholic,3.0,"moderate, middle of the road"
favor,none/other,4.0,slightly liberal
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
favor,none/other,5.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
,christianity,4.0,
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,1.0,slightly liberal
favor,protestant,4.0,conservative
oppose,protestant,5.0,extremely liberal
oppose,protestant,3.0,slightly liberal
favor,none/other,4.0,liberal
oppose,protestant,2.0,slightly liberal
oppose,none/other,5.0,liberal
,none/other,5.0,slightly conservative
favor,none/other,4.0,conservative
,,,"moderate, middle of the road"
favor,christianity,4.0,slightly liberal
favor,catholic,3.0,slightly conservative
oppose,none/other,4.0,extremely liberal
favor,none/other,1.0,liberal
favor,catholic,3.0,slightly conservative
favor,christianity,5.0,liberal
favor,none/other,5.0,"moderate, middle of the road"
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,protestant,2.0,conservative
favor,christianity,5.0,conservative
,none/other,2.0,extremely liberal
favor,none/other,5.0,slightly liberal
favor,protestant,1.0,conservative
favor,protestant,2.0,slightly conservative
favor,catholic,1.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
oppose,none/other,1.0,liberal
favor,protestant,5.0,conservative
favor,none/other,4.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,christianity,3.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,5.0,slightly conservative
oppose,protestant,1.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
oppose,none/other,3.0,extremely liberal
favor,none/other,2.0,slightly liberal
favor,catholic,2.0,slightly liberal
oppose,none/other,2.0,liberal
oppose,none/other,1.0,liberal
favor,none/other,3.0,extremely liberal
oppose,none/other,1.0,extremely liberal
oppose,protestant,2.0,slightly liberal
favor,none/other,1.0,liberal
favor,protestant,5.0,slightly liberal
favor,none/other,2.0,slightly conservative
oppose,none/other,1.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,2.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,buddhism,1.0,liberal
oppose,none/other,1.0,"moderate, middle of the road"
oppose,jewish,4.0,liberal
,none/other,2.0,liberal
favor,none/other,5.0,liberal
favor,catholic,4.0,"moderate, middle of the road"
favor,christianity,4.0,conservative
favor,protestant,5.0,slightly conservative
favor,catholic,4.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
favor,,5.0,"moderate, middle of the road"
favor,protestant,5.0,slightly liberal
favor,catholic,3.0,slightly liberal
favor,christianity,5.0,"moderate, middle of the road"
favor,christianity,2.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,protestant,5.0,conservative
favor,none/other,2.0,conservative
favor,protestant,5.0,slightly conservative
oppose,catholic,5.0,slightly liberal
favor,catholic,2.0,slightly conservative
favor,catholic,1.0,"moderate, middle of the road"
favor,catholic,2.0,slightly liberal
favor,christianity,5.0,"moderate, middle of the road"
favor,none/other,4.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,protestant,1.0,"moderate, middle of the road"
favor,none/other,4.0,extremely conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
favor,none/other,2.0,slightly liberal
,none/other,2.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
oppose,protestant,1.0,slightly conservative
favor,catholic,2.0,extremely liberal
favor,protestant,2.0,slightly conservative
oppose,none/other,3.0,slightly liberal
favor,protestant,1.0,"moderate, middle of the road"
oppose,protestant,1.0,"moderate, middle of the road"
favor,protestant,3.0,slightly conservative
favor,protestant,1.0,"moderate, middle of the road"
favor,protestant,3.0,conservative
favor,none/other,2.0,slightly liberal
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,1.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
,catholic,5.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
oppose,none/other,1.0,extremely liberal
oppose,protestant,1.0,conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
favor,none/other,2.0,liberal
favor,none/other,3.0,slightly conservative
favor,christianity,1.0,extremely conservative
favor,none/other,5.0,liberal
oppose,buddhism,3.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
favor,none/other,5.0,
favor,protestant,3.0,"moderate, middle of the road"
,protestant,3.0,"moderate, middle of the road"
favor,christianity,4.0,"moderate, middle of the road"
